Malattia_A_(Exposure),Malattia_B_(Outcome),Causal_Effect_ATE,SE,z_value,p_value,CI_Lower_95,CI_Upper_95,Placebo_ATE_IPW,N,N_treated,N_control,trim_frac,ESS_ipw,e_min,e_median,e_max,n_folds,cross_fitted,q_value,global_q_value,global_fdr_significant
NEOP,DIGE,0.0815682436494303,0.0050401063063666,16.183833969214785,0.0,0.0716896352889517,0.091446852009909,-0.0339469125545988,29556,7389,22167,0.0,26611.951121122485,0.0128956548869609,0.4251539409160614,0.8841491341590881,5,True,0.0,0.0,Si
NEOP,GEN,0.075343330373638,0.0047437830377736,15.88254137545859,0.0,0.0660455156196017,0.0846411451276743,-0.0190087102545205,31464,7866,23598,0.0,29382.692995057558,0.0947266519069671,0.4427980184555053,0.9501293301582336,5,True,0.0,0.0,Si
ENDO,DIGE,0.0698658243736138,0.0037319110164667,18.721192457519944,0.0,0.0625512787813389,0.0771803699658887,-0.0399689863232242,59545,14887,44658,0.0,49372.656867636746,0.0885302051901817,0.4277840852737427,0.967735469341278,5,True,0.0,0.0,Si
NEOP,GEN,0.0690123550989276,0.0047854826919881,14.421189990816885,0.0,0.0596328090226307,0.0783919011752244,-0.0222770282356973,31464,7866,23598,0.0,29361.175065212643,0.0797139480710029,0.4619832336902618,0.9566013216972352,5,True,0.0,0.0,Si
ENDO,DIGE,0.0687685027645614,0.003844456589306,17.887704326237202,0.0,0.0612333678495215,0.0763036376796013,-0.0427213653957963,59545,14887,44658,0.0,48715.45514959118,0.1345877349376678,0.4567869007587433,0.9755274057388306,5,True,0.0,0.0,Si
NEOP,GEN,0.0659835103595702,0.0076513442529282,8.623780106916165,0.0,0.0509868756238308,0.0809801450953097,-0.0211142386897376,31464,7866,23598,0.0037185354691075,11383.722291358255,0.1625386923551559,0.440862774848938,0.9904102087020874,5,True,0.0,0.0,Si
INJ,DIGE,0.063768813156308,0.0035837784368681,17.793737609525802,0.0,0.0567446074200465,0.0707930188925696,-0.0408023714520606,61068,15267,45801,0.0,49972.58168446228,0.034254677593708,0.410658985376358,0.9687533974647522,5,True,0.0,0.0,Si
NEOP,GEN,0.0635812798987558,0.0079506598126663,7.996981558368675,1.3322676295501878e-15,0.0479979866659297,0.0791645731315819,-0.0214796636676838,31464,7866,23598,0.0043859649122807,10663.974231544484,0.1588799059391021,0.4412563443183899,0.9908074736595154,5,True,1.3322676295501878e-15,1.937843824800273e-15,Si
NEOP,DIGE,0.0629336829577388,0.0106362937330552,5.9168808738475285,3.28104143854091e-09,0.0420865472409506,0.0837808186745271,-0.0473103207411569,29556,7389,22167,0.020841791852754,7185.163948849324,0.1615556180477142,0.4564866125583648,0.9950618147850036,5,True,3.28104143854091e-09,3.6204595183899695e-09,Si
MENT,MUSC,0.0616097305023686,0.0045962962118021,13.404212362155898,0.0,0.0526009899272364,0.0706184710775008,-0.0436820367695287,38508,9627,28881,0.0,35425.7321352853,0.1934537291526794,0.4493984580039978,0.9543474316596984,5,True,0.0,0.0,Si
MENT,NERV,0.060320745206693,0.0052044380590284,11.590251343668308,0.0,0.0501200466109973,0.0705214438023888,-0.0220419576674839,40192,10048,30144,9.952229299363058e-05,16507.67197297347,0.2504237592220306,0.4468221068382263,0.9907145500183104,5,True,0.0,0.0,Si
NEOP,DIGE,0.0600414597307518,0.010651653439867,5.636820618480568,1.732183796399056e-08,0.0391642189886125,0.0809187004728912,-0.0469986382717942,29556,7389,22167,0.0224996616592231,7012.223927580389,0.1531876176595688,0.4555911719799042,0.9962133765220642,5,True,1.732183796399056e-08,1.78806069305709e-08,Si
MENT,NERV,0.0597274116404788,0.0052580690589642,11.35919117278458,0.0,0.0494215962849088,0.0700332269960488,-0.0221645832314408,40192,10048,30144,0.0003732085987261,15768.888795637356,0.2614836990833282,0.4482193291187286,0.9922590851783752,5,True,0.0,0.0,Si
MENT,NERV,0.0577422895389267,0.0036076237146641,16.0056297734761,0.0,0.050671347058185,0.0648132320196684,-0.0194570202768299,40192,10048,30144,0.0,37486.88283050142,0.07416882365942,0.4609038233757019,0.9391754269599916,5,True,0.0,0.0,Si
INJ,DIGE,0.0551278655924069,0.003577704676256,15.408724470264511,0.0,0.048115564426945,0.0621401667578689,-0.0373737622507547,61068,15267,45801,0.0,49490.67174665907,0.0308208037167787,0.3925718367099762,0.9683346748352052,5,True,0.0,0.0,Si
BLD,ENDO,0.0549034843578042,0.0038254333771899,14.352225994884275,0.0,0.0474056349385118,0.0624013337770966,-0.0443771373203038,28944,7236,21708,0.0,26829.682243439376,0.1692807972431183,0.4507771730422973,0.903462827205658,5,True,0.0,0.0,Si
ENDO,DIGE,0.0546364113005904,0.0065013432957088,8.403864988432836,0.0,0.041893778441001,0.0673790441601798,-0.0447870589633004,59545,14887,44658,0.0,19244.577977680347,0.08359956741333,0.4580335617065429,0.9884668588638306,5,True,0.0,0.0,Si
ENDO,DIGE,0.0519163145797467,0.0065187293232061,7.964177066676051,1.7763568394002505e-15,0.0391396051062628,0.0646930240532307,-0.0448800499008366,59545,14887,44658,0.0,19498.58857019435,0.0899729207158088,0.4594912230968475,0.9873585104942322,5,True,1.7763568394002505e-15,2.4714529939481745e-15,Si
MENT,MUSC,0.0510972449078667,0.0064654282065062,7.903149377862821,2.664535259100376e-15,0.0384250056231144,0.063769484192619,-0.0467724119155178,38508,9627,28881,0.0020774903916069,17279.308204458288,0.265884667634964,0.4452337622642517,0.9917190074920654,5,True,2.664535259100376e-15,3.552713678800502e-15,Si
MENT,NERV,0.0507625810467707,0.003521472495889,14.415157609786933,0.0,0.0438604949548281,0.0576646671387133,-0.0172368232574219,40192,10048,30144,0.0,37238.91942510121,0.0827503502368927,0.4259376227855682,0.9428993463516236,5,True,0.0,0.0,Si
MENT,MUSC,0.0503661906848472,0.0065961096465561,7.635741881753576,2.242650509742816e-14,0.0374378157775972,0.0632945655920972,-0.046971545068215,38508,9627,28881,0.0017139295730757,17196.15611781663,0.2640579342842102,0.4453495144844055,0.990552544593811,5,True,2.242650509742816e-14,2.870592652470804e-14,Si
NERV,GEN,0.0492060325713763,0.0030165106245854,16.31223579003263,0.0,0.0432936717471889,0.0551183933955638,-0.021090199320536,83798,20950,62848,0.0,60492.4090695269,0.0801358968019485,0.4265697598457336,0.9797596335411072,5,True,0.0,0.0,Si
INJ,DIGE,0.0487864401349171,0.0052129765869079,9.35865322269835,0.0,0.0385690060245775,0.0590038742452567,-0.0416042130465418,61068,15267,45801,0.0037007925591144,20997.368457481247,0.2989434897899627,0.4035278558731079,0.9914022088050842,5,True,0.0,0.0,Si
INJ,DIGE,0.0478468806199561,0.005515804058673,8.674506946040154,0.0,0.0370359046649569,0.0586578565749554,-0.0414693567236294,61068,15267,45801,0.0060424444881116,18797.84172520516,0.2951447069644928,0.4004307389259338,0.9910613894462584,5,True,0.0,0.0,Si
NEOP,DIGE,0.0465597462380288,0.0050302257414001,9.255995383035954,0.0,0.0367005037848844,0.0564189886911732,-0.036256995927082,29556,7389,22167,0.0,27545.02450337762,0.0275879744440317,0.4277347922325134,0.9187952280044556,5,True,0.0,0.0,Si
MENT,MUSC,0.043242909570725,0.0045390656456299,9.526830618181858,0.0,0.0343463409052902,0.0521394782361597,-0.0412451514023743,38508,9627,28881,0.0,35444.73323650763,0.182073175907135,0.4325873255729675,0.9500989317893982,5,True,0.0,0.0,Si
NERV,GEN,0.0415901539111164,0.0030765632401772,13.518380954431596,0.0,0.035560089960369,0.0476202178618638,-0.0211927141103386,83798,20950,62848,0.0,60334.79152326434,0.0827025324106216,0.4223783016204834,0.9786197543144226,5,True,0.0,0.0,Si
BLD,ENDO,0.0330489054626527,0.0053886279840313,6.133083515987747,8.619185365432712e-10,0.0224871946139513,0.0436106163113541,-0.0468612716676314,28944,7236,21708,0.0029712548369264,15735.380326158747,0.1563902199268341,0.4680458307266235,0.993421733379364,5,True,8.619185365432712e-10,1.0215330803475806e-09,Si
NERV,GEN,0.0316048527613941,0.0053212013136397,5.939420611729535,2.860311543173566e-09,0.0211752981866602,0.042034407336128,-0.0250954883424643,83798,20950,62848,0.0097257691114346,21592.705151725502,0.2837021946907043,0.4334851503372192,0.9919845461845398,5,True,2.860311543173566e-09,3.2689274779126467e-09,Si
NERV,GEN,0.0314102043083745,0.0053138794915443,5.910974149556049,3.4009040028593063e-09,0.0209950005049476,0.0418254081118013,-0.0253226964725079,83798,20950,62848,0.0105133774075753,21659.222835908004,0.2847211956977844,0.4346394836902618,0.992790937423706,5,True,3.4009040028593063e-09,3.62763093638326e-09,Si
BLD,ENDO,0.0296181326802951,0.0054402296728474,5.444279830339031,5.201539554633428e-08,0.0189552825215141,0.0402809828390761,-0.0462914510699842,28944,7236,21708,0.0043186843559977,15168.537064338629,0.1418391466140747,0.460928201675415,0.9930697083473206,5,True,5.201539554633428e-08,5.201539554633428e-08,Si
BLD,ENDO,0.0268670442783698,0.0039214430543714,6.851315677890505,7.317257910699482e-12,0.0191810158918018,0.0345530726649378,-0.0479936285397431,28944,7236,21708,0.0,26394.08498631215,0.163645938038826,0.4676846861839294,0.9202664494514464,5,True,7.317257910699482e-12,9.00585589009167e-12,Si
